model,Smooth_RMSSE,Erratic_RMSSE,Intermittent_RMSSE,Lumpy_RMSSE,Smooth_WRMSSE,Erratic_WRMSSE,Intermittent_WRMSSE,Lumpy_WRMSSE
TSB-HB-LogNormal,1.3848763636072623,0.9272044831348881,8.284855388236103,2.189607231554426,1.054594259787747,0.8847834949444645,2.563560361598566,1.1063929031279158
index,60865.428112797956,17010.037436056933,2768281.3131089406,241453.4379732407,33359.17129200741,9854.115811061713,555067.3995920136,49420.428334920834
CrostonClassic,1.381927405421061,0.9301008226000865,8.918263572890812,2.2005751601058705,1.0555357160711505,0.8812912953948848,2.7524689438733994,1.117828631741061
CrostonSBA,1.3781671003866853,0.9302034629679239,8.847231366251131,2.1989549218875704,1.047207285009578,0.8818448960214919,2.7319402720389525,1.1163642801843474
TSB,1.4088327276765142,1.0088217855629913,8.29922880939032,2.215123559929031,1.1150257972380522,0.9553122300634624,2.586724945859102,1.147677114771664
ADIDA,1.3934806468824457,0.9405485411308517,8.295310035263682,2.2021074648473093,1.0705807339668167,0.8916739620466438,2.5659559882776977,1.121112454815492
IMAPA,1.3934806468824457,0.9405485411308517,8.295534974224019,2.202620487290069,1.0705807339668167,0.8916739620466438,2.5670600225804745,1.1226922005319553
AutoTheta,1.5664109211834731,1.1764631938198002,8.327087974363762,2.3299921767908724,1.4628212349511454,1.064384968612186,2.654146970071223,1.3457891388364476
AutoARIMA,1.667911783224921,1.0349814658751662,8.301378089853504,2.255588056114575,1.8341522212191927,0.9845598335383042,2.5756470001550493,1.237567957360653
Hurdle-Local-LogNormal,1.385175414704021,0.9321960904779188,8.28896914660361,2.1946707910645116,1.0693346621093691,0.8900120003414437,2.5615972907169837,1.1079815049900121
Hurdle-Global-LogNormal,1.505527304304817,1.0643899366443352,16.521222703911498,2.5335041930019053,1.2323566222908582,1.043476319380608,3.8488118860333453,1.1696772879744781
