protocol,model,quantile,pinball
fixed,AutoARIMA,0.1,0.6684595272416233
fixed,AutoARIMA,0.25,1.470414038431095
fixed,AutoARIMA,0.5,2.9979396427320566
fixed,AutoARIMA,0.75,3.7262937744518156
fixed,AutoARIMA,0.9,2.8390120951655637
fixed,AutoTheta,0.1,0.5203802134616581
fixed,AutoTheta,0.25,1.4316278056994707
fixed,AutoTheta,0.5,3.2488166934441853
fixed,AutoTheta,0.75,4.1637010503814755
fixed,AutoTheta,0.9,3.0947589524970187
fixed,CP-ADIDA,0.1,1.255093846775783
fixed,CP-ADIDA,0.25,2.1597201109965303
fixed,CP-ADIDA,0.5,2.7758336526474743
fixed,CP-ADIDA,0.75,3.0327030414319585
fixed,CP-ADIDA,0.9,3.0233273852668203
fixed,CP-CrostonClassic,0.1,1.358471207389868
fixed,CP-CrostonClassic,0.25,2.2553639413459803
fixed,CP-CrostonClassic,0.5,2.9033052266117854
fixed,CP-CrostonClassic,0.75,3.093884181907166
fixed,CP-CrostonClassic,0.9,2.9950601811361803
fixed,CP-CrostonSBA,0.1,1.308014654794837
fixed,CP-CrostonSBA,0.25,2.1865849686715606
fixed,CP-CrostonSBA,0.5,2.854734586362825
fixed,CP-CrostonSBA,0.75,3.091060757034692
fixed,CP-CrostonSBA,0.9,3.0155168081784023
fixed,CP-IMAPA,0.1,1.2767549930863764
fixed,CP-IMAPA,0.25,2.185530581967681
fixed,CP-IMAPA,0.5,2.789112903545809
fixed,CP-IMAPA,0.75,3.039630663426659
fixed,CP-IMAPA,0.9,3.0278112595088635
fixed,CP-TSB,0.1,1.1995794471154018
fixed,CP-TSB,0.25,2.1009509705617258
fixed,CP-TSB,0.5,2.783637798345692
fixed,CP-TSB,0.75,3.180576615639104
fixed,CP-TSB,0.9,3.230161284474167
fixed,Hurdle-Global-LogNormal,0.1,0.47549116317877205
fixed,Hurdle-Global-LogNormal,0.25,1.1887279079469302
fixed,Hurdle-Global-LogNormal,0.5,2.3774558158938603
fixed,Hurdle-Global-LogNormal,0.75,3.5661837238407905
fixed,Hurdle-Global-LogNormal,0.9,3.695852252939872
fixed,Hurdle-Local-LogNormal,0.1,0.4755096575666755
fixed,Hurdle-Local-LogNormal,0.25,1.1875544874909796
fixed,Hurdle-Local-LogNormal,0.5,2.29189699414818
fixed,Hurdle-Local-LogNormal,0.75,2.9617092198137835
fixed,Hurdle-Local-LogNormal,0.9,2.6526885312465316
fixed,TSB-HB,0.1,0.48193772014023506
fixed,TSB-HB,0.25,1.1894203990399455
fixed,TSB-HB,0.5,2.293297841440256
fixed,TSB-HB,0.75,2.9730712926948497
fixed,TSB-HB,0.9,2.658502102883084
